id;start_date;end_date;language
1;2021-03-06T06:46:13;2021-03-06T04:36:28;SPANISH
2;2021-03-05T11:36:24;2021-03-06T06:40:49;SPANISH
3;2021-03-06T02:31:43;2021-03-05T13:05:52;FRENCH
4;2021-03-05T17:49:14;2021-03-06T05:20:40;FRENCH
5;2021-03-06T03:19:32;2021-03-06T08:06:31;FRENCH
6;2021-03-05T21:11:53;2021-03-06T09:20:07;FRENCH
7;2021-03-05T22:57:13;2021-03-05T16:48:04;FRENCH
8;2021-03-05T21:53:26;2021-03-06T08:09:34;SPANISH
9;2021-03-05T20:34:35;2021-03-05T17:15:58;SPANISH
10;2021-03-06T04:46:39;2021-03-05T15:21:09;SPANISH
